Model,Train Accuracy,CV Accuracy (mean),CV Accuracy (std),Test Accuracy,Test F1 (macro),Overfit Gap
Logistic Regression,1.0,0.9400458472932464,0.015326000767159767,0.9703703703703703,0.9664004905444764,0.05995415270675364
SVM (RBF),1.0,0.9362898959619116,0.02333806060125887,0.9629629629629629,0.9575107151294254,0.06371010403808841
SVM (Linear),1.0,0.9513137012872509,0.02080690039380588,0.9629629629629629,0.9575107151294254,0.0486862987127491
Random Forest,0.9906367041198502,0.8876741315464646,0.019438246505679182,0.9111111111111111,0.9033766301465715,0.10296257257338559
KNN,1.0,0.9007406101216716,0.007582929043752815,0.8888888888888888,0.888974478680361,0.09925938987832839
Naive Bayes,0.9606741573033708,0.8914477164521248,0.03146110360999944,0.837037037037037,0.8315146871872295,0.06922644085124596
